ns,spot_mid,perp_mid,deviation_bps,side
68516396000,78161.7,78120.3,-5.02238,-1
80560347100,78154.9,78112.6,-5.02743,-1
85105859200,78161.5,78121.1,-5.00786,-1
107338363600,78159.5,78120.4,-5.00041,-1
107708561900,78152.2,78112.6,-5.00563,-1
110349573800,78146.9,78107.6,-5.00087,-1
137123495800,78148.6,78108.6,-5.01042,-1
137230218200,78143.5,78104.1,-5.00001,-1
141636419500,78137.6,78098.6,-5.00011,-1
166717793200,78116.5,78077.4,-5.00069,-1
171331106600,78120,78078.2,-5.0092,-1
176194947600,78122.4,78081.1,-5.01675,-1
177260065900,78123,78080.8,-5.02961,-1
182247566900,78102.9,78060.9,-5.02026,-1
183590504400,78109.4,78066.6,-5.04553,-1
208383987800,78079.3,78037.1,-5.02034,-1
217688808900,78097.2,78054.9,-5.02371,-1
225920167300,78112.5,78072.9,-5.0007,-1
226470358100,78113.7,78074.2,-5.00542,-1
237124534400,78117,78076.9,-5.00005,-1
239955697800,78128,78087.9,-5.00836,-1
267189602700,78139,78097.4,-5.01821,-1
268354688300,78129.3,78090.1,-5.00018,-1
281763162500,78122.6,78083.4,-5.0005,-1
